ds,yhat
2023-01-01,507950.2314487099
2023-01-15,515803.1223892357
2023-01-30,537373.3302984332
2023-02-01,540966.1058580531
2023-02-15,553610.097832859
2023-02-28,571311.7696390804
2023-03-01,575292.5675068938
2023-03-15,590252.4084902657
2023-03-30,599856.5512069273
2023-04-01,606657.6175245548
2023-04-15,621338.8585476881
2023-04-30,629610.3187543709
2023-05-01,630151.4860533938
2023-05-15,642387.6618243996
2023-05-30,649869.2346342242
2023-06-01,649251.1200199513
2023-06-15,658001.6079047791
2023-06-30,669844.5859273126
2023-07-01,672699.7160422415
2023-07-15,680381.9156736563
2023-07-30,686620.9597883933
2023-08-01,686139.7519763144
2023-08-15,692894.3353580693
2023-08-30,705158.1614377244
2023-09-01,704308.237940802
2023-09-15,708965.0336536465
2023-09-30,723486.9376059916
2023-10-01,721915.741810546
2023-10-15,727904.2019206407
2023-10-30,736985.5263150977
2023-11-01,741097.4282513994
2023-11-15,752075.4079419437
2023-11-30,752101.2014126368
2023-12-01,756135.9805378236
2023-12-15,775392.0515769011
2023-12-30,767239.3870429215
2024-01-01,760882.0743659448
2024-01-15,750633.7962490041
2024-01-30,759078.9187038152
2024-02-01,757570.4745645405
2024-02-15,755192.7277970723
2024-02-29,765028.7987735713
2024-03-01,768855.8420243735
2024-03-15,773674.078904654
2024-03-30,779125.192222122
2024-04-01,778222.572611939
2024-04-15,789745.9814756803
2024-04-30,794825.718932019
2024-05-01,798737.913748375
2024-05-15,812296.581827618
2024-05-30,815210.5105120876
2024-06-01,822024.8763564024
2024-06-15,831457.6659694299
2024-06-30,839519.2830379856
2024-07-01,839591.909726706
2024-07-15,848690.0937414693
2024-07-30,857280.3908715261
2024-08-01,856308.2520026073
2024-08-15,864375.1127967001
2024-08-30,878705.5790825266
2024-09-01,879791.4384171846
2024-09-15,885213.4072163682
2024-09-30,899263.648235454
2024-10-01,898982.8538224265
2024-10-15,905424.676751048
2024-10-30,921133.2670658864
2024-11-01,921562.3174926258
2024-12-01,950035.1969478797
2025-01-01,969651.4030505178
2025-02-01,985500.6941850544
2025-03-01,1008580.6055514798
2025-04-01,1028448.7628283289
2025-05-01,1043953.8170878713
2025-06-01,1070154.262609145
2025-07-01,1088029.292183911
2025-08-01,1108340.3585199614
2025-09-01,1126731.0682188375
2025-10-01,1149819.8337201593
2025-11-01,1171321.6074626772
2025-12-01,1195940.3483135398
2026-01-01,1208575.1857368024
2026-02-01,1225016.3433422353
2026-03-01,1247808.4879054113
2026-04-01,1275724.2162209426
2026-05-01,1289227.7390585688
2026-06-01,1311126.2320443203
2026-07-01,1334561.3226898033
2026-08-01,1354326.9949085342
2026-09-01,1365721.9121370693
2026-10-01,1382496.5127332017
2026-11-01,1408054.677622556
2026-12-01,1436107.5937085694
2027-01-01,1456010.5942811659
2027-02-01,1464431.8934494248
2027-03-01,1487617.2451261561
2027-04-01,1508613.6760723004
2027-05-01,1535843.4296096433
2027-06-01,1550712.58036212
2027-07-01,1567021.3645658055
2027-07-02,1573498.5024491241
2027-07-03,1579479.4797963179
2027-07-04,1574771.9291069822
2027-07-05,1574297.8262022256
2027-07-06,1572700.6003924962
2027-07-07,1579485.2230657125
2027-07-08,1570256.612076671
2027-07-09,1576893.5859756013
2027-07-10,1583073.192307849
2027-07-11,1578564.3536693943
2027-07-12,1578323.0688595925
2027-07-13,1576966.324428903
2027-07-14,1584015.9390329008
2027-07-15,1574994.0908390672
2027-07-16,1581862.5801508508
2027-07-17,1588240.6569588138
2027-07-18,1583858.5641668397
2027-07-19,1583709.0037032657
2027-07-20,1582387.751260619
2027-07-21,1589441.0708908404
2027-07-22,1580318.098797078
2027-07-23,1587075.0755107696
2027-07-24,1593286.2729178956
2027-07-25,1588656.9872469923
2027-07-26,1588230.789977262
2027-07-27,1586596.3488563343
2027-07-28,1593337.9156592544
2027-07-29,1583844.0857686722
2027-07-30,1590276.5519556445
2027-07-31,1596173.7307355606
2027-08-01,1591222.8664265275
2027-08-02,1590522.8013228683
2027-08-03,1588656.8199803312
2027-08-04,1595246.1163565353
2027-08-05,1585614.9284546508
2027-08-06,1592023.9068378862
2027-08-07,1597966.6250346662
2027-08-08,1593101.065698454
2027-08-09,1592568.259244702
2027-08-10,1590931.5680076266
2027-08-11,1597833.6037214939
2027-08-12,1588518.2475984313
2027-08-13,1595329.1669987566
2027-08-14,1601699.749087842
2027-08-15,1597244.4964498729
2027-08-16,1597134.032264548
2027-08-17,1595901.276470338
2027-08-18,1603202.2044188627
2027-08-19,1594195.0683639029
2027-08-20,1601304.2921115642
2027-08-21,1607903.9629462806
2027-08-22,1603569.1711949129
2027-08-23,1603507.313362699
2027-08-24,1602230.9893582587
2027-08-25,1609422.3330067196
2027-08-26,1600169.0744535273
2027-08-27,1606993.3713026096
2027-08-28,1613228.3492199276
2027-08-29,1608428.82299104
2027-08-30,1607858.299405129
2027-08-31,1606027.9800534872
2027-09-01,1612664.0502131532
2027-09-02,1602799.9901532705
2027-09-03,1609069.7912982178
2027-09-04,1614777.052657265
2027-09-05,1609464.6656107067
2027-09-06,1608457.1882167927
2027-09-07,1606265.7264566813
2027-09-08,1612658.0643172911
2027-09-09,1602607.2222403348
2027-09-10,1608849.1738930205
2027-09-11,1614644.7296591026
2027-09-12,1609508.5267280298
2027-09-13,1608807.21792795
2027-09-14,1607030.7639554574
2027-09-15,1613966.0115995319
2027-09-16,1604502.1631211059
2027-09-17,1611453.6946992325
2027-09-18,1618015.7443239368
2027-09-19,1613653.1189897032
2027-09-20,1613754.9823450756
2027-09-21,1612773.193245485
2027-09-22,1620499.8982402212
2027-09-23,1611730.3903485104
2027-09-24,1619351.6039596146
2027-09-25,1626491.2651192162
2027-09-26,1622567.0473005804
2027-09-27,1622997.7568138062
2027-09-28,1622208.5820206834
2027-09-29,1630012.4318159388
2027-09-30,1621129.7889756854
2027-10-01,1628542.2701125848
2027-10-02,1635334.9240482273
2027-10-03,1630904.8359267998
2027-10-04,1630728.044052109
2027-10-05,1629230.889459833
2027-10-06,1636274.2698899617
2027-10-07,1626529.6617401047
2027-10-08,1633096.94860872
2027-10-09,1639039.1252248923
2027-10-10,1633749.684496637
2027-10-11,1632774.6986887644
2027-10-12,1630549.8191493559
2027-10-13,1636987.1277835267
2027-10-14,1626707.1534268223
2027-10-15,1632920.9460527068
2027-10-16,1638657.3176388564
2027-10-17,1633289.2963008913
2027-10-18,1632411.8026206808
2027-10-19,1630444.8664117663
2027-10-20,1637323.7638532585
2027-10-21,1627587.8190848657
2027-10-22,1634527.5955515166
2027-10-23,1641105.6012525095
2027-10-24,1636642.766646422
2027-10-25,1636752.674048067
2027-10-26,1635811.9221123543
2027-10-27,1643754.423975735
2027-10-28,1635017.7871955074
2027-10-29,1642956.3082609095
2027-10-30,1650455.6990661942
2027-10-31,1646779.9976140563
2027-11-01,1647562.5971329422
2027-11-02,1647143.8325451012
2027-11-03,1655469.3363876354
2027-11-04,1646893.716399113
2027-11-05,1654858.900248699
2027-11-06,1662202.2683751471
2027-11-07,1658163.235953087
2027-11-08,1658430.193266856
2027-11-09,1657344.3225260603
2027-11-10,1664900.943889936
2027-11-11,1655409.3767496124
2027-11-12,1662435.5060272056
2027-11-13,1668802.210536683
2027-11-14,1663754.5556729008
2027-11-15,1663061.6663666926
2027-11-16,1661085.9071420876
2027-11-17,1667886.4896695113
2027-11-18,1657734.9511171281
2027-11-19,1664321.556486783
2027-11-20,1670447.832328497
2027-11-21,1665350.3842737037
2027-11-22,1664857.9242313218
2027-11-23,1663326.2402917654
2027-11-24,1670844.6889204958
2027-11-25,1661608.0958723512
2027-11-26,1669387.9629591403
2027-11-27,1676918.2140559016
2027-11-28,1673378.8543477166
2027-11-29,1674609.4464618985
2027-11-30,1674911.2079873672
2027-12-01,1684357.732707558
2027-12-02,1677024.6279650326
2027-12-03,1686726.772430498
2027-12-04,1696098.4182149617
2027-12-05,1694237.6998243998
2027-12-06,1696977.4016512102
2027-12-07,1698554.8344039097
2027-12-08,1709027.224917141
2027-12-09,1702359.3026892603
2027-12-10,1712426.5855381133
2027-12-11,1721789.576194236
2027-12-12,1719498.624640376
2027-12-13,1721421.266204655
2027-12-14,1721778.9481831586
2027-12-15,1730665.9738641824
2027-12-16,1721993.7658036477
2027-12-17,1729758.7809927713
2027-12-18,1736509.313465215
2027-12-19,1731309.1700760922
2027-12-20,1730120.028112817
2027-12-21,1727203.490879984
2027-12-22,1732742.1350763093
2027-12-23,1720639.1092598045
2027-12-24,1725049.482592287
2027-12-25,1728538.6357884188
2027-12-26,1720203.9390202356
2027-12-27,1716111.5468407206
2027-12-28,1710563.4463968254
